depth alpha beta rho
0 11266.2 3667.8 13088.48
200 11255.93 3663.42 13079.77
400 11237.12 3650.27 13053.64
600 11205.76 3628.35 13010.09
800 11161.86 3597.67 12949.12
1000 11105.42 3558.23 12870.73
1200 11036.43 3510.02 12774.93
1400 10249.59 0.0 12069.24
1600 10122.91 0.0 11946.82
1800 9985.54 0.0 11809.0
2000 9834.96 0.0 11654.78
2200 9668.65 0.0 11483.11
2400 9484.09 0.0 11292.98
2600 9278.76 0.0 11083.35
2800 9050.15 0.0 10853.21
3000 8795.73 0.0 10601.52
3200 8512.98 0.0 10327.26
3400 8199.39 0.0 10029.4
3600 13687.53 7265.75 5506.42
3800 13447.42 7188.92 5406.81
4000 13245.32 7099.74 5307.24
4200 13015.79 7010.53 5207.13
4400 12783.89 6919.57 5105.9
4600 12544.66 6825.12 5002.99
4800 12293.16 6725.48 4897.83
5000 12024.45 6618.91 4789.83
5200 11733.57 6563.7 4678.44
5400 11415.6 6378.13 4563.07
5600 11065.57 6240.46 4443.17
5800 10009.3574 5431.4083 3939.2884
6000 8864.101625 4754.929875 3530.48675
6200 1.0 1.0 1.0
6400 1.0 1.0 1.0
